Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
Agriculteur,,No,2014.0,Catholic,29,33.0,No,Grand'Anse,,Female,No,No,25-29,Agriculture - self employed,Product not used,Seasonal,0,No,0-4,Always,No,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,33,Yes,No,DrinksTafia/Clairin,1671,No Beating,0
Personnel des services directs au particulier,No,No,,Catholic,26,,No,Grand'Anse,,Female,No,No,25-29,Household and domestic,Product not used,All year,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,33,Yes,No,DrinksTafia/Clairin,1672,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,22,,No,Grand'Anse,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,52,No,No,DrinksTafia/Clairin,1673,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,28,,No,Grand'Anse,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,52,No,No,Drinks rum,1674,No Beating,0
"Contremaitre, agent de maitrise",No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Grand'Anse,,Female,No,No,15-19,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,55,Yes,No,Drinks rum,1675,No Beating,0
Commercant et assimilï¿½,No,No,,Protestant/Methodist/Adventist/Jehova Witness,28,,No,Grand'Anse,,Female,No,No,25-29,Sales,Product not used,All year,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,55,Yes,No,Drinks rum,1676,No Beating,0
Agriculteur,Formerly married,No,2012.0,Catholic,25,,No,Grand'Anse,,Male,No,No,25-29,Agriculture - self employed,Product not used,All year,1,No,0-4,Always,No,No,No,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,25,Yes,No,DrinksTafia/Clairin,1677,No Beating,0
Agriculteur,No,No,,Catholic,25,,No,Grand'Anse,,Male,No,No,25-29,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,25,Yes,No,DrinksTafia/Clairin,1678,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,21,,Yes,Nord-Est,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,19,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,53,No,No,Drinks wine,1679,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Catholic,20,,Yes,Nord-Est,,Female,No,No,20-24,Skilled manual,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,53,Yes,No,Drinks wine,1680,No Beating,0
Profession intermediare/administrative du privï¿½,,Yes,2004.0,Catholic,48,41.0,No,Nord-Est,,Female,No,No,45-49,Professional/technical/managerial,Product not used,All year,1,No,10-14,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,41,Yes,No,Drinks rum,1681,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,Yes,Nord-Est,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,0,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,41,No,No,Drinks wine,1682,No Beating,0
Agriculteur,,No,1993.0,Catholic,53,60.0,No,Nord-Est,,Male,No,No,50-54,Agriculture - self employed,Product not used,Seasonal,0,No,20-24,18,No,No,No,Primary,Product not used,No,No,"No, never",HT7,Staying elsewhere,No,,Yes,53,Yes,No,No Drinks,1683,No Beating,0
Agriculteur,,No,1991.0,Protestant/Methodist/Adventist/Jehova Witness,43,48.0,Yes,Nord-Est,,Male,No,No,40-44,Agriculture - self employed,Product not used,All year,4,No,25-29,3,No,No,Yes,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,43,Yes,No,Drinks wine,1684,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,22,,Yes,Nord-Est,No,Male,No,No,20-24,Skilled manual,Product not used,Occasional,0,No,Never married,3,No,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,No,43,No,No,Drinks wine,1685,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,Yes,Nord-Est,No,Male,No,No,15-19,Skilled manual,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,43,No,No,Drinks wine,1686,No Beating,0
Not working and didn't work in last 12 months,,Yes,2006.0,Protestant/Methodist/Adventist/Jehova Witness,35,34.0,Yes,Nord-Est,No,Female,No,No,35-39,Not working,Product not used,,1,No,10-14,Always,No,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,34,No,No,Drinks wine,1687,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,1999.0,Protestant/Methodist/Adventist/Jehova Witness,41,54.0,No,Nord-Est,,Male,No,No,40-44,Skilled manual,Product not used,Seasonal,0,No,15-19,17,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,40,Yes,No,No Drinks,1688,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,Yes,Nord-Est,,Male,No,No,15-19,Skilled manual,Product not used,All year,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Every now and then,HT7,,No,,Yes,40,Yes,No,Drinks wine,1689,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,2008.0,Catholic,25,17.0,Yes,Nord-Est,,Male,No,No,25-29,Skilled manual,Product not used,Seasonal,1,No,5-9,2,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,25,Yes,No,Drinks wine,1690,No Beating,0
Insituteur et assimilï¿½s,,No,1998.0,Protestant/Methodist/Adventist/Jehova Witness,51,45.0,Yes,Nord-Est,,Male,No,No,50-54,Professional/technical/managerial,Product not used,All year,2,No,15-19,13,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,51,Yes,No,Drinks wine,1691,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Nord-Est,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,51,No,No,Drinks rum,1692,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,Yes,Nord-Est,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,51,No,No,Drinks wine,1693,No Beating,0
Agriculteur,,No,2001.0,No religion,57,42.0,No,Nord-Est,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,0,No,15-19,Always,No,No,No,No education,Product not used,,Yes,Every day,HT7,Staying elsewhere,No,,Yes,57,Yes,No,DrinksTafia/Clairin,1694,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,2008.0,Catholic,33,32.0,Yes,Nord-Est,,Female,No,No,30-34,Skilled manual,Product not used,All year,0,No,5-9,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,32,Yes,No,Drinks wine,1695,No Beating,0
Ouvrier qualifiï¿½ de type industriel,No,Yes,,Catholic,24,,Yes,Nord-Est,,Female,No,No,20-24,Skilled manual,Product not used,All year,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,32,Yes,No,Drinks wine,1696,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,19,,Yes,Nord-Est,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,71,No,No,Drinks wine,1697,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,Catholic,22,,Yes,Nord-Est,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,47,No,No,Drinks wine,1698,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,20,,No,Nord-Est,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,4,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,47,No,No,No Drinks,1699,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,16,,Yes,Nord-Est,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,No,Every now and then,HT7,,No,,Yes,47,No,No,Drinks wine,1700,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,Yes,,Catholic,44,,Yes,Nord-Est,,Female,No,No,40-44,Skilled manual,5,All year,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,46,Yes,No,Drinks wine,1701,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,2011.0,Catholic,31,27.0,Yes,Nord-Est,,Male,No,No,30-34,Skilled manual,Product not used,All year,2,No,5-9,Always,No,No,Yes,Higher,Product not used,,No,Every now and then,HT7,Living with him,No,,Yes,69,Yes,No,Drinks wine,1702,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,2014.0,Protestant/Methodist/Adventist/Jehova Witness,23,20.0,No,Nord-Est,Yes,Male,No,No,20-24,Skilled manual,Product not used,Occasional,0,No,0-4,Always,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,23,Yes,No,Drinks beer,1703,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,Catholic,24,,Yes,Nord-Est,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,48,No,No,Drinks wine,1704,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,29,,Yes,Nord-Est,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,7,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,48,No,No,Drinks wine,1705,No Beating,0
Chaffeur,No,No,,Catholic,20,,No,Rest-Ouest,,Male,No,No,20-24,Sales,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,68,Yes,No,Drinks beer,1706,No Beating,0
Agriculteur,,No,1993.0,Catholic,57,55.0,No,Rest-Ouest,,Male,No,No,55-59,Agriculture - self employed,Product not used,Seasonal,4,No,20-24,Always,Yes,No,No,No education,20,,Yes,Every now and then,HT7,Living with him,No,,Yes,57,Yes,No,Drinks rum,1707,No Beating,0
Policier ou militaire,,No,2014.0,Catholic,23,21.0,No,Rest-Ouest,,Male,Yes,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,0-4,7,Yes,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,57,Yes,No,Drinks rum,1708,wife burns food,1
Agriculteur,,Yes,1986.0,Catholic,52,51.0,Yes,Rest-Ouest,,Female,No,No,50-54,Agriculture - self employed,Product not used,Seasonal,1,No,30+,Always,Yes,No,No,Primary,Product not used,Yes,Yes,Every now and then,HT7,Living with him,No,,Yes,51,Yes,No,Drinks wine,1709,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,20,,Yes,Rest-Ouest,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,51,No,No,Drinks wine,1710,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,18,,Yes,Rest-Ouest,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,48,No,No,Drinks wine,1711,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,17,,No,Rest-Ouest,No,Female,Yes,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,48,No,No,DrinksTafia/Clairin,1712,wife burns food,1
Ouvrier qualifiï¿½ de type industriel,No,No,,Catholic,42,,No,Rest-Ouest,,Female,No,No,40-44,Skilled manual,Product not used,All year,0,No,Never married,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,38,Yes,No,DrinksTafia/Clairin,1713,No Beating,0
Agriculteur,,No,1982.0,Protestant/Methodist/Adventist/Jehova Witness,57,51.0,Yes,Rest-Ouest,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,3,No,30+,19,No,No,No,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,57,Yes,No,Drinks wine,1714,No Beating,0
Agriculteur,No,No,,Catholic,28,,No,Rest-Ouest,,Male,No,No,25-29,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,57,Yes,No,Drinks rum,1715,No Beating,0
Agriculteur,No,No,,Vaudousant,18,,No,Rest-Ouest,Yes,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,18,Yes,No,Drinks rum,1716,No Beating,0
Agriculteur,No,No,,Catholic,16,,No,Rest-Ouest,,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,18,Yes,No,Drinks rum,1717,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,15,,No,Rest-Ouest,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,18,No,No,Drinks beer,1718,No Beating,0
Agriculteur,No,Yes,,Catholic,18,,No,Rest-Ouest,No,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,18,No,No,DrinksTafia/Clairin,1719,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,17,,No,Rest-Ouest,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,41,No,No,Drinks rum,1720,No Beating,0
Chaffeur,No,Yes,,Catholic,19,,No,Rest-Ouest,,Female,Yes,No,15-19,Sales,Product not used,All year,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,58,Yes,No,Drinks rum,1721,wife burns food,1
Agriculteur,,No,2014.0,Catholic,52,55.0,No,Rest-Ouest,,Female,No,No,50-54,Agriculture - self employed,Product not used,Seasonal,0,Yes,0-4,Visitor,No,No,No,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,40,Yes,No,Drinks other alcohol,1722,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,15,,Yes,Rest-Ouest,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,40,No,No,Drinks wine,1723,No Beating,0
Agriculteur,,No,2004.0,Protestant/Methodist/Adventist/Jehova Witness,49,34.0,No,Rest-Ouest,,Male,No,Yes,45-49,Agriculture - self employed,Product not used,Seasonal,2,No,10-14,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,49,Yes,No,DrinksTafia/Clairin,1724,wife goes out without telling husband,1
Commercant et assimilï¿½,,Yes,1995.0,Catholic,45,42.0,No,Rest-Ouest,,Male,No,No,45-49,Sales,Product not used,All year,0,No,20-24,Always,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,45,Yes,No,Drinks rum,1725,No Beating,0
Insituteur et assimilï¿½s,,Yes,2013.0,Protestant/Methodist/Adventist/Jehova Witness,34,33.0,Yes,Rest-Ouest,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,1,No,0-4,Always,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,34,Yes,No,Drinks wine,1726,No Beating,0
Agriculteur,Formerly married,No,1990.0,Protestant/Methodist/Adventist/Jehova Witness,56,,No,Rest-Ouest,,Male,No,No,55-59,Agriculture - self employed,Product not used,Seasonal,0,No,25-29,Always,Yes,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,56,Yes,No,Drinks rum,1727,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,16,,No,Nord-Ouest,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,13,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,25,No,No,No Drinks,1728,No Beating,0
Commercant et assimilï¿½,,Yes,1999.0,Catholic,41,28.0,Yes,Nord-Ouest,,Female,No,No,40-44,Sales,Product not used,All year,0,No,15-19,Always,No,No,No,Secondary,Product not used,,No,Hardly ever,HT7,Staying elsewhere,No,,No,63,Yes,No,Drinks wine,1729,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Nord-Ouest,No,Female,No,No,15-19,Not working,Product not used,,0,Yes,Never married,1,No,No,No,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,85,No,No,Drinks other alcohol,1730,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2001.0,Protestant/Methodist/Adventist/Jehova Witness,40,36.0,No,Nord-Ouest,,Male,No,No,40-44,Skilled manual,Product not used,All year,2,Yes,15-19,30,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,40,Yes,No,Drinks other alcohol,1731,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,22,,Yes,Nord-Ouest,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,51,No,No,Drinks wine,1732,No Beating,0
Insituteur et assimilï¿½s,,Yes,2011.0,Protestant/Methodist/Adventist/Jehova Witness,33,24.0,No,Nord-Ouest,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,5-9,1,No,No,No,Higher,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,33,Yes,No,No Drinks,1733,No Beating,0
Chaffeur,,No,2013.0,Protestant/Methodist/Adventist/Jehova Witness,32,33.0,Yes,Nord-Ouest,,Male,No,No,30-34,Sales,Product not used,All year,0,No,0-4,13,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,32,Yes,No,Drinks wine,1734,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,24,,No,Nord-Ouest,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,Visitor,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,32,No,No,Drinks rum,1735,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,2006.0,Catholic,32,27.0,Yes,Nord-Ouest,,Male,No,No,30-34,Skilled manual,Product not used,All year,1,No,10-14,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,32,Yes,No,Drinks wine,1736,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,No,Nord-Ouest,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,34,No,No,Drinks beer,1737,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Catholic,22,,Yes,Nord-Ouest,,Female,No,No,20-24,Skilled manual,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,62,Yes,No,Drinks wine,1738,No Beating,0
"Contremaitre, agent de maitrise",,No,1991.0,Catholic,47,46.0,No,Nord-Ouest,,Female,No,No,45-49,Professional/technical/managerial,Product not used,All year,1,No,25-29,26,No,No,Yes,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,46,Yes,No,Drinks beer,1739,No Beating,0
